"District","Type","Year","NDVI"
"Mutasa","Average","Mar",0.693159529483871
"Nyanga","Average","Mar",0.64414789283871
"Bindura","Average","Mar",0.707653570774194
"Guruve","Average","Mar",0.675433381806452
"Mount Darwin","Average","Mar",0.668183178032258
"Mazowe","Average","Mar",0.703729291741935
"Centenary","Average","Mar",0.641572330096774
"Rushinga","Average","Mar",0.684549070064516
"Shamva","Average","Mar",0.706081558580645
"Chikomba","Average","Mar",0.542220541967742
"Goromonzi","Average","Mar",0.645477692129032
"Marondera","Average","Mar",0.575723050032258
"Mudzi","Average","Mar",0.597361658709677
"Mutoko","Average","Mar",0.603622816709677
"Murehwa","Average","Mar",0.61882127983871
"UMP","Average","Mar",0.637711597967742
"Seke","Average","Mar",0.557648637225806
"Wedza","Average","Mar",0.571157134258064
"Chirumhanzu","Average","Mar",0.530697575354839
"Gokwe North","Average","Mar",0.664504735032258
"Gokwe South","Average","Mar",0.598215603935484
"Gweru","Average","Mar",0.555900197645161
"Kwekwe","Average","Mar",0.598506758709677
"Mberengwa","Average","Mar",0.511954831806452
"Shurugwi","Average","Mar",0.526649746903226
"Zvishavane","Average","Mar",0.515295985870968
"Binga","Average","Mar",0.626108877387097
"Bubi","Average","Mar",0.592687673129032
"Hwange","Average","Mar",0.617976130903226
"Lupane","Average","Mar",0.599611453967742
"Nkayi","Average","Mar",0.60427492216129
"Tsholotsho","Average","Mar",0.538264400645161
"Umguza","Average","Mar",0.590608125225806
"Beitbridge","Average","Mar",0.417405396580645
"Bulilima (North)","Average","Mar",0.469161373709677
"Gwanda","Average","Mar",0.472811579225806
"Insiza","Average","Mar",0.523612149903226
"Mangwe (South)","Average","Mar",0.454523290483871
"Matobo","Average","Mar",0.492622053903226
"Umzingwane","Average","Mar",0.538522654516129
"Bikita","Average","Mar",0.482698792935484
"Chiredzi","Average","Mar",0.531105309225806
"Chivi","Average","Mar",0.466725365741935
"Gutu","Average","Mar",0.465699838709677
"Masvingo","Average","Mar",0.534301370709677
"Mwenezi","Average","Mar",0.534280487290323
"Zaka","Average","Mar",0.517234872935484
"Chegutu","Average","Mar",0.598290483290323
"Hurungwe","Average","Mar",0.699345963516129
"Kadoma","Average","Mar",0.626619064032258
"Kariba","Average","Mar",0.56858973616129
"Makonde","Average","Mar",0.707163933
"Zvimba","Average","Mar",0.666616363290323
"Harare","Average","Apr",0.511226651366667
"Bulawayo","Average","Apr",0.463206957733333
"Buhera","Average","Apr",0.349920456633333
"Chimanimani","Average","Apr",0.659853074133333
"Chipinge","Average","Apr",0.537556917433333
"Makoni","Average","Apr",0.543605140633333
"Mutare","Average","Apr",0.524855913966667
"Mutasa","Average","Apr",0.680078276266667
"Nyanga","Average","Apr",0.607084438566667
"Bindura","Average","Apr",0.642375755866667
"Guruve","Average","Apr",0.6105094834
"Mount Darwin","Average","Apr",0.595108807766667
"Mazowe","Average","Apr",0.622843989833333
"Centenary","Average","Apr",0.596800532133333
"Rushinga","Average","Apr",0.618089508766667
"Shamva","Average","Apr",0.636529173066667
"Chikomba","Average","Apr",0.503622864366667
"Goromonzi","Average","Apr",0.585761029666667
"Marondera","Average","Apr",0.5388696268
"Mudzi","Average","Apr",0.5512427072
"Mutoko","Average","Apr",0.5370946236
"Murehwa","Average","Apr",0.565899035466667
"UMP","Average","Apr",0.5539066787
"Seke","Average","Apr",0.5022649263
"Wedza","Average","Apr",0.5414299343
"Chirumhanzu","Average","Apr",0.4995812702
"Gokwe North","Average","Apr",0.585720863866667
"Gokwe South","Average","Apr",0.539182680666667
"Gweru","Average","Apr",0.523603827533333
"Kwekwe","Average","Apr",0.539187056266667
"Mberengwa","Average","Apr",0.5033332837
"Shurugwi","Average","Apr",0.513711121833333
"Zvishavane","Average","Apr",0.484626470266667
"Binga","Average","Apr",0.539170185966667
"Bubi","Average","Apr",0.548822786766667
"Hwange","Average","Apr",0.537168189633333
"Lupane","Average","Apr",0.562087691566667
"Nkayi","Average","Apr",0.550604606966667
"Tsholotsho","Average","Apr",0.503933617833333
"Umguza","Average","Apr",0.5555346267
"Beitbridge","Average","Apr",0.381847684633333
"Bulilima (North)","Average","Apr",0.4568488866
"Gwanda","Average","Apr",0.443732687966667
"Insiza","Average","Apr",0.493834858666667
"Mangwe (South)","Average","Apr",0.464082460466667
"Matobo","Average","Apr",0.464614207866667
"Umzingwane","Average","Apr",0.506614946133333
"Bikita","Average","Apr",0.472306310233333
"Chiredzi","Average","Apr",0.492960936066667
"Chivi","Average","Apr",0.436813867766667
"Gutu","Average","Apr",0.4477463411
"Masvingo","Average","Apr",0.520404434733333
"Mwenezi","Average","Apr",0.492826310866667
"Zaka","Average","Apr",0.512513194166667
"Chegutu","Average","Apr",0.5342772967
"Hurungwe","Average","Apr",0.6137914242
"Kadoma","Average","Apr",0.5608890533
"Kariba","Average","Apr",0.4377709424
"Makonde","Average","Apr",0.6343031622
"Zvimba","Average","Apr",0.587716303433333
"Harare","Average","May",0.458399796258065
"Bulawayo","Average","May",0.453801350806452
"Buhera","Average","May",0.327600841483871
"Chimanimani","Average","May",0.626924423580645
"Chipinge","Average","May",0.512681790451613
"Makoni","Average","May",0.477747964354839
"Mutare","Average","May",0.475615735903226
"Mutasa","Average","May",0.648808678645161
"Nyanga","Average","May",0.548953700064516
"Bindura","Average","May",0.544774764451613
"Guruve","Average","May",0.498684660129032
"Mount Darwin","Average","May",0.482609173806452
"Mazowe","Average","May",0.516752774451613
"Centenary","Average","May",0.489549297806452
"Rushinga","Average","May",0.504683381709677
"Shamva","Average","May",0.559715597322581
"Chikomba","Average","May",0.442278571032258
"Goromonzi","Average","May",0.507449778096774
"Marondera","Average","May",0.477920015354839
"Mudzi","Average","May",0.451519172
"Mutoko","Average","May",0.462715466354839
"Murehwa","Average","May",0.495663473290323
"UMP","Average","May",0.477622973806452
"Seke","Average","May",0.434888463870968
"Wedza","Average","May",0.478306006870968
"Chirumhanzu","Average","May",0.441889196967742
"Gokwe North","Average","May",0.488463821419355
"Gokwe South","Average","May",0.473551619451613
"Gweru","Average","May",0.470299382193548
"Kwekwe","Average","May",0.489551505774194
"Mberengwa","Average","May",0.46134593283871
"Shurugwi","Average","May",0.467022578322581
"Zvishavane","Average","May",0.435220250032258
"Binga","Average","May",0.444335275774194
"Bubi","Average","May",0.516452762612903
"Hwange","Average","May",0.474050362258065
"Lupane","Average","May",0.51545453583871
"Nkayi","Average","May",0.505888956677419
"Tsholotsho","Average","May",0.475747887806452
"Umguza","Average","May",0.533928964774194
"Beitbridge","Average","May",0.351196552451613
"Bulilima (North)","Average","May",0.443746583354839
"Gwanda","Average","May",0.395614395032258
"Insiza","Average","May",0.453248113483871
"Mangwe (South)","Average","May",0.445018025612903
"Matobo","Average","May",0.425481217258065
"Umzingwane","Average","May",0.47876398816129
"Bikita","Average","May",0.448296681645161
"Chiredzi","Average","May",0.47220662916129
"Chivi","Average","May",0.395513454548387
"Gutu","Average","May",0.400934655516129
"Masvingo","Average","May",0.47138393483871
"Mwenezi","Average","May",0.441716881774194
