"","region","AvgSurfaceMoisture"
"1","I",14.4088638709998
"2","IIA",14.3255894576551
"3","IIB",13.5720351342072
"4","III",12.0031489266447
"5","IV",9.13856217791006
"6","V",7.13243978072131
