district_id,district_name,year,yeard,h_k3,a_k3,m0_k3,m1_k3,m2_k3,g0_edu_max_k3,g1_edu_max_k3,g2_edu_max_k3,g0_edu_dropout_k3,g1_edu_dropout_k3,g2_edu_dropout_k3,g0_hea_chronic_k3,g1_hea_chronic_k3,g2_hea_chronic_k3,g0_hea_visit_k3,g1_hea_visit_k3,g2_hea_visit_k3,g0_employment_k3,g0_assets_k3,g1_assets_k3,g2_assets_k3,g0_services_k3,g1_services_k3,g2_services_k3,g0_electricity_k3,g0_cooking_fuel_k3,g0_water_k3,g0_toilet_k3,g0_land_k3,g0_livestock_k3,g0_rural_equip_k3,maxevi,surfacemoisture,rainnovdec,rainnovjan,rainnovfeb,rainnovmar,rainnovapr,rainnovmay,sum10_20,sum10_20_novdec,sum10_20_novjan,sum10_20_novfeb,sum20p,sum20p_novdec,sum20p_novjan,sum20p_novfeb,dryspells
9,Centenary,2011,0,0.7171138,0.4674991,0.33525,0.1906297,0.152138,0.2318455,0.1187577,0.0414759,0.0187758,0.0281637,0.0281637,0.4391641,0.219582,0.219582,0.2414481,0.120724,0.120724,0,0.5790546,0.4521618,0.3887154,0.4454094,0.2407708,0.1093703,0.3321916,0.352427,0.1959231,0.1090155,0.069916,0,0.1697048,0.5216914,,2.543434,5.226285,5.784821,6.77855,6.914122,6.915545,1,0,0,0,1,0,0,0,2
9,Centenary,2017,1,0.822916,0.4829018,0.3973876,0.2224763,0.1749515,0.2613488,0.1341443,0.0481846,0.0286651,0.0352524,0.0321542,0.242895,0.1214475,0.1214475,0.2412915,0.1206458,0.1206458,0,0.7101272,0.5612853,0.4868643,0.7512497,0.3231849,0.1252276,0.3514817,0.411458,0.2339741,0.1319878,0.071405,0,0.3392981,0.5455648,18.05087,2.020103,5.007885,7.010694,8.577732,8.861165,8.861981,0,0,0,0,2,0,0,0,2
10,Chegutu,2011,0,0.5048165,0.4673222,0.2359119,0.1355589,0.111077,0.1490309,0.078271,0.0290918,0.0114187,0.017128,0.017128,0.3088887,0.1544444,0.1544444,0.1572736,0.0786368,0.0786368,0.0072445,0.3905275,0.2899927,0.2397253,0.2145049,0.1339864,0.0788211,0.1865871,0.2354234,0.1199456,0.1345118,0.0898373,0,0.2359693,0.4779943,,2.240192,5.38272,6.463553,7.163496,7.578547,7.616021,3,0,0,1,1,0,0,0,4
10,Chegutu,2017,1,0.4035281,0.484167,0.195375,0.1152293,0.1021565,0.0823338,0.0411669,0.0137223,0.0134343,0.0111551,0.0063188,0.3735635,0.1867818,0.1867818,0.2833765,0.1416882,0.1416882,0.0431897,0.3293059,0.249842,0.21011,0.0297255,0.0101724,0.0026091,0.1313981,0.1803463,0.0673648,0.0863759,0.0972517,0,0.1383962,0.5055271,16.15895,2.603492,5.238107,7.243911,7.946541,8.534467,8.548657,1,0,0,0,2,0,0,0,3
11,Chikomba,2011,0,0.4034893,0.4522599,0.182482,0.1005832,0.081393,0.1523917,0.0912674,0.0448311,0.031331,0.0350805,0.0306066,0.3207299,0.1603649,0.1603649,0.2163294,0.1081647,0.1081647,0.0028743,0.3116407,0.2317158,0.1917533,0.168487,0.0813661,0.0345538,0.149495,0.196941,0.0655468,0.0879306,0.0045398,0,0.0253418,0.4539124,,2.445418,5.88428,6.421878,6.908641,7.177258,7.187897,1,0,0,0,3,0,0,1,4
11,Chikomba,2017,1,0.8195584,0.4600958,0.3770753,0.2196073,0.1863057,0.0889366,0.0444683,0.0148228,0.0062012,0.0093018,0.0093018,0.4860092,0.2430046,0.2430046,0.4090057,0.2045029,0.2045029,0.0096436,0.7225781,0.5873467,0.519731,0.4521262,0.2289022,0.1005995,0.3767415,0.3974346,0.1314956,0.1791043,0.1478413,0,0.1750981,0.4910524,15.85033,2.668783,5.34541,7.335352,8.03575,8.459062,8.485926,1,0,0,0,2,0,0,0,3
12,Chimanimani,2011,0,0.6247871,0.4564706,0.285197,0.1526203,0.1252455,0.1910382,0.11492,0.0559766,0.0485112,0.0620715,0.0577939,0.3619109,0.1809555,0.1809555,0.2486722,0.1243361,0.1243361,0,0.4666268,0.3538697,0.2974912,0.2853115,0.1084747,0.0353132,0.2087587,0.295595,0.1077351,0.0227645,0.1060519,0,0.3663951,0.5247387,,2.179684,5.112737,5.299706,5.640894,6.074923,6.091041,5,0,0,2,1,0,0,0,6
12,Chimanimani,2017,1,0.5973125,0.4515933,0.2697423,0.1460754,0.1179222,0.1473936,0.0736968,0.0245656,0.0180823,0.0236607,0.021583,0.2340068,0.1170034,0.1170034,0.1494084,0.0747042,0.0747042,0,0.5409102,0.4291809,0.3733163,0.430139,0.1843703,0.0751142,0.2028363,0.2986562,0.1054898,0.0649342,0.038128,0,0.3325669,0.539542,16.89082,1.786344,5.078374,7.29931,9.646208,10.14915,10.1596,1,1,1,1,2,0,0,0,3
13,Chipinge,2011,0,0.6178544,0.4669291,0.2884942,0.158279,0.1332649,0.2060672,0.1125598,0.0461043,0.0255566,0.0278944,0.0247732,0.3804706,0.1902353,0.1902353,0.23273,0.116365,0.116365,0,0.539092,0.4269245,0.3708408,0.1944635,0.081274,0.0281362,0.2860668,0.2927366,0.1370352,0.0553346,0.0560869,0,0.3350549,0.511987,,1.70222,3.883814,3.960763,4.056105,4.437039,4.438285,1,0,0,0,2,0,0,1,3
13,Chipinge,2017,1,0.7078364,0.4740772,0.3355691,0.1829087,0.1466213,0.3305965,0.1652982,0.0550994,0.0719066,0.0713161,0.0560417,0.3462961,0.1731481,0.1731481,0.0612903,0.0306452,0.0306452,0,0.6532614,0.5564396,0.5080287,0.4522434,0.1557719,0.0438358,0.2899619,0.3374306,0.1223176,0.1104634,0.0246566,0,0.3874826,0.5977855,15.9531,2.094238,5.348912,7.186221,9.064798,10.014,10.01787,1,1,1,1,2,0,0,0,3
14,Chiredzi,2011,0,0.7092029,0.4960584,0.3518061,0.2060157,0.1655745,0.2674922,0.1447508,0.0584763,0.0253404,0.0290978,0.0243339,0.3859111,0.1929556,0.1929556,0.2323926,0.1161963,0.1161963,0.0081074,0.5353104,0.4144122,0.3539631,0.4671086,0.2377283,0.1045549,0.2986744,0.3432481,0.1587549,0.1991347,0.1685364,0,0.2521466,0.4784875,,1.855458,3.691815,3.764424,3.789982,4.047634,4.089421,0,0,0,0,3,0,0,1,3
14,Chiredzi,2017,1,0.5883833,0.4647247,0.2734362,0.157125,0.1260074,0.2631691,0.1315845,0.0438615,0.0168729,0.0151856,0.0091114,0.2367442,0.1183721,0.1183721,0.1224462,0.0612231,0.0612231,0.0083595,0.5444353,0.4520006,0.4057833,0.3110554,0.1224997,0.0476073,0.1912226,0.2941916,0.1342027,0.2055887,0.0552277,0,0.2141282,0.6061399,10.03214,1.783311,3.6454,5.215162,6.14893,6.997007,6.997358,2,1,1,1,2,0,0,0,4
15,Chirumhanzu,2011,0,0.5549556,0.4647008,0.2578883,0.1448045,0.1200718,0.1593321,0.0874287,0.0355821,0.0110591,0.0136863,0.0118543,0.3606099,0.180305,0.180305,0.2388912,0.1194456,0.1194456,0,0.5013164,0.4274787,0.3905599,0.243575,0.0920564,0.0288399,0.2103234,0.2590262,0.1334093,0.1520556,0.0271692,0,0.1531711,0.4224682,,2.101491,5.815977,6.282162,6.725079,7.009277,7.05236,1,0,0,0,3,0,0,1,4
15,Chirumhanzu,2017,1,0.6251555,0.4516681,0.2823628,0.170742,0.1482494,0.0611138,0.0305569,0.0101856,0.0064619,0.0038771,0.0015508,0.6126298,0.3063149,0.3063149,0.1861578,0.0930789,0.0930789,0.0132029,0.5505733,0.4638444,0.4204799,0.1875195,0.0819875,0.0264509,0.1332529,0.3125778,0.169487,0.1716003,0.1123174,0,0.1655523,0.446772,15.63567,2.223201,4.440783,6.695726,7.309603,7.879613,7.879954,0,0,0,0,2,0,0,0,2
16,Chivi,2011,0,0.6934354,0.4603561,0.3192272,0.1828158,0.150319,0.1879238,0.1053966,0.0465669,0.0315654,0.039137,0.033943,0.4373099,0.2186549,0.2186549,0.2848261,0.1424131,0.1424131,0,0.6078671,0.5015829,0.4484408,0.3278379,0.1472344,0.0530842,0.2704847,0.3390161,0.1830274,0.1784689,0.0473801,0,0.1369512,0.4794139,,1.672846,4.391924,4.454467,4.717364,5.027609,5.042647,1,0,0,0,3,0,0,1,4
16,Chivi,2017,1,0.8478808,0.4905011,0.4158865,0.2520023,0.2091392,0.1511089,0.0765716,0.0262019,0.0133154,0.0159179,0.0129347,0.5402085,0.2701043,0.2701043,0.24933,0.124665,0.124665,0.0048014,0.8043408,0.6898453,0.6325975,0.7005135,0.3572995,0.1606606,0.334042,0.4178893,0.2129475,0.1760894,0.1508281,0,0.1955068,0.535835,14.51074,1.964006,3.823805,5.700074,6.59119,7.275847,7.275847,1,1,1,1,2,0,0,0,3
17,Gokwe North,2011,0,0.71849,0.4641342,0.3334758,0.1914242,0.1496533,0.1873635,0.0981245,0.0362337,0.0371279,0.0392256,0.0324037,0.3714911,0.1857456,0.1857456,0.2848351,0.1424176,0.1424176,0,0.5924239,0.4644275,0.4004293,0.3891631,0.2226621,0.1097165,0.2555577,0.359245,0.2878405,0.2635537,0.0045826,0,0.1348359,0.5170916,,2.261196,4.59202,6.250714,7.17856,7.543068,7.567527,0,0,0,0,2,0,0,0,2
17,Gokwe North,2017,1,0.821394,0.4696611,0.3857768,0.2288892,0.1838333,0.2068566,0.1034283,0.0344761,0.0489363,0.0620352,0.0553274,0.3426632,0.1713316,0.1713316,0.2578105,0.1289053,0.1289053,0,0.6892216,0.5832562,0.5302736,0.5965374,0.2772477,0.1173636,0.3126859,0.4034596,0.304093,0.2760734,0.0480215,0,0.1785206,0.5622579,14.96106,2.141859,4.964915,6.906622,8.212411,8.768383,8.77341,2,0,0,0,1,0,0,0,3
18,Gokwe South,2011,0,0.6332779,0.4555775,0.2885072,0.1594562,0.1212809,0.1794818,0.095711,0.0367103,0.0292805,0.036137,0.0322023,0.2813194,0.1406597,0.1406597,0.2516503,0.1258252,0.1258252,0.005863,0.5495791,0.3860387,0.3042685,0.3644134,0.2080619,0.0966989,0.2784133,0.3100662,0.1738843,0.2143961,0.0126093,0,0.0898613,0.4881661,,2.162813,4.796372,5.90672,6.882831,7.411794,7.447589,4,0,0,1,0,0,0,0,4
