"District","Year","AverageEVI","MaxEVI","MinEVI","MedianEVI"
"Beitbridge","2005",0.124442983487503,0.282073032289946,-0.100084579347982,0.128382895132423
"Beitbridge","2006",0.164809286479515,0.418518053669949,-0.09700753160676,0.155740586229602
"Beitbridge","2007",0.172183489100725,0.394980409569439,-0.086221092445582,0.174912005389681
"Beitbridge","2008",0.155204708416216,0.43979639117234,-0.0683107087982934,0.15098522890278
"Beitbridge","2009",0.174414734712053,0.531581464629794,-0.258386031068611,0.160135149453255
"Beitbridge","2010",0.173513034216547,0.404618984299795,-0.0872085197482328,0.163073397480016
"Beitbridge","2011",0.168552664000927,0.42976671841912,-0.221052851228035,0.159544727219508
"Beitbridge","2012",0.152966308579878,0.381767499734393,-0.0242307265258179,0.149954178394793
"Beitbridge","2013",0.169634967405934,0.410220046001776,-0.177598214605929,0.165627220841337
"Beitbridge","2014",0.185928273231031,0.461214706537955,-0.129974544310328,0.173443051674297
"Beitbridge","2015",0.187073896089098,0.444888887713409,-0.650154014713335,0.184500727864095
"Beitbridge","2016",0.156013485776652,0.3788345242066,-0.0587079662650661,0.140502141737989
"Beitbridge","2017",0.195156802923099,0.498535184432899,-0.0988649641050376,0.181954974201772
"Beitbridge","2018",0.175157466564174,0.477709603782471,-0.0710075528539202,0.15693704970842
"Beitbridge","2019",0.164174951073517,0.443034426806238,-0.0408021942833116,0.15640901359916
"Beitbridge","2020",0.148085003906659,0.402622012823934,-0.190702208281468,0.143743391275899
"Beitbridge","2021",0.218111830074412,0.547605875574672,-0.17639920710493,0.202254508069726
"Bikita","2005",0.189892092277293,0.417983576301658,-0.0828346881822117,0.178382547307785
"Bikita","2006",0.247268770312842,0.526598278473884,-0.0240575560108667,0.227294683876007
"Bikita","2007",0.225225349430586,0.5287905725093,-0.188682250012345,0.210170183846086
"Bikita","2008",0.229677291971132,0.515064264716958,-0.0793080843950328,0.21394196896422
"Bikita","2009",0.226901809199664,0.532304512236485,-0.184020827257637,0.20227630574032
"Bikita","2010",0.225410443312282,0.451857402978498,-0.151772208578537,0.225179444600856
"Bikita","2011",0.218782591128424,0.494315667818764,-0.51493561481063,0.205231114367396
"Bikita","2012",0.228461708267403,0.480312356355243,-0.0943259460531014,0.213909107518284
"Bikita","2013",0.232651690925398,0.521059699088086,-0.129475624426273,0.230827609484559
"Bikita","2014",0.241673697801448,0.493177703941013,-0.487783895046654,0.224678074503662
"Bikita","2015",0.246183638788093,0.485925646759926,-0.122364627291141,0.236609079876447
"Bikita","2016",0.224027125766556,0.443455080192912,-0.24807963027777,0.218370705362656
"Bikita","2017",0.261398356857627,0.579026997897268,-0.109473171349268,0.255188091381228
"Bikita","2018",0.237208761822767,0.520184569350404,-0.137361668227748,0.223392264183624
"Bikita","2019",0.258819452608267,0.50983100390601,-0.0412246644520856,0.250547820621186
"Bikita","2020",0.238576077002362,0.554666636562436,-0.293949743791214,0.221809854810589
"Bikita","2021",0.253565353918903,0.561942488456943,-0.106079716774506,0.237750178190056
"Bindura","2005",0.232636338489492,0.545293034922114,-0.0370035591009756,0.208281714711309
"Bindura","2006",0.256540871473376,0.540704299940678,-0.0735460598115207,0.240118165493833
"Bindura","2007",0.246014775479465,0.548824944839634,-0.306795325694985,0.229821553483547
"Bindura","2008",0.250627913878501,0.539130384610933,-0.192356702951319,0.222748651774921
"Bindura","2009",0.252799191117781,0.556155770316785,-0.275961845962919,0.234308188845604
"Bindura","2010",0.255423489916375,0.567215399543573,-0.0211179930990568,0.238554332249973
"Bindura","2011",0.247747904824774,0.540358393399195,-0.103624344924282,0.223092447922018
"Bindura","2012",0.256620339464397,0.557168537682505,-0.113603588894348,0.22688292794258
"Bindura","2013",0.251506003572556,0.557887291920407,-0.109433922047532,0.223247484441256
"Bindura","2014",0.242236311728878,0.533301637217866,-0.633157645797033,0.217312814361521
"Bindura","2015",0.265795530629244,0.57015469900571,-0.0771553170077155,0.23537900342788
"Bindura","2016",0.269411579367376,0.554551416367612,-0.10704434732328,0.23943113159607
"Bindura","2017",0.267481008701975,0.526665502917578,-0.272434852188657,0.25208732031859
"Bindura","2018",0.259437552110692,0.575378916834349,-0.091610161114791,0.24092434356518
"Bindura","2019",0.257842350314953,0.562637964621273,-0.0409897217720173,0.232577202486075
"Bindura","2020",0.255918233250252,0.568160506020278,-0.14517439359975,0.225416630989611
"Bindura","2021",0.273815996198544,0.569968028030692,-0.11122111566876,0.257433371151264
"Binga","2005",0.186395397702187,0.449176975208719,-0.101564177129893,0.175504124025373
"Binga","2006",0.231139644680016,0.478571638167311,-0.0797579935118937,0.221310639899923
"Binga","2007",0.205133498377614,0.467494854491134,-0.0455215820052342,0.186753501478522
"Binga","2008",0.225388613158949,0.489085610762507,-0.244960004781751,0.205012940436348
"Binga","2009",0.227759523683502,0.485002015628982,-0.0388426037383662,0.211712080297318
"Binga","2010",0.226744404221409,0.479794835826231,-0.272036959338143,0.212246290413788
"Binga","2011",0.217103059937778,0.474928847139536,-0.0910097593886721,0.19932767949557
"Binga","2012",0.215066360098869,0.461651913957041,-0.0442276998353745,0.193371424830373
"Binga","2013",0.224649718891408,0.511761447484007,-0.0948437539243248,0.208142534966032
"Binga","2014",0.231804015249561,0.492768393054717,-0.0773183842922074,0.213442202040531
"Binga","2015",0.227530244401979,0.496268732298368,-0.0411456596357877,0.203860198381578
"Binga","2016",0.221857000053297,0.466135729236999,-0.654715869285755,0.208497136459052
"Binga","2017",0.238408298738024,0.478270011198785,-0.216528339326678,0.232407444578262
