"District","Year","Month","AverageEVI","MaxEVI","MinEVI","MedianEVI"
"Beitbridge","2005","03",0.16860771394328,0.282073032289946,0.0126813291292922,0.183926206257806
"Beitbridge","2005","04",0.149248882866951,0.267898569937395,0.0384842768183972,0.166385981298441
"Beitbridge","2005","05",0.164771065844521,0.235341140259117,0.0935034064918099,0.161910579526676
"Beitbridge","2005","06",0.13045059018507,0.192121461478384,0.0484167836777067,0.145191306101645
"Beitbridge","2005","07",0.1237678745503,0.184920067603402,0.0318549028964109,0.127909271145072
"Beitbridge","2005","08",0.124130132614692,0.180842778004668,0.0714130429815107,0.124516478370151
"Beitbridge","2005","09",0.121912865903384,0.153687961611504,0.0850410215470312,0.120817587501784
"Beitbridge","2005","10",0.104147504881603,0.135831936616416,0.0021356713357532,0.111167636816269
"Beitbridge","2005","11",0.0821270409408994,0.140137246136134,0.00146737249470633,0.0976393506184369
"Beitbridge","2005","12",0.0747917224026862,0.227541413732724,-0.100084579347982,0.0932061199251766
"Beitbridge","2006","01",0.178454653680808,0.391833152119539,-0.037659429195052,0.173446177261881
"Beitbridge","2006","02",0.250943019792919,0.418518053669949,0.0816708550052561,0.258176236727481
"Beitbridge","2006","03",0.206137889379895,0.33332008173313,-0.0411737021172532,0.250430928040758
"Beitbridge","2006","04",0.203308156052183,0.333536678823492,0.00258434459630929,0.214875990619414
"Beitbridge","2006","05",0.186244719229242,0.253207003735578,0.0294630614103108,0.197191228278971
"Beitbridge","2006","06",0.165913965297093,0.227367202194797,0.114829771391787,0.163406676254489
"Beitbridge","2006","07",0.146720977797508,0.208044691599289,0.108207928212281,0.139552701624312
"Beitbridge","2006","08",0.125582899750024,0.177793953029672,0.0457978608031011,0.12862198666609
"Beitbridge","2006","09",0.118270852793354,0.152779374712878,0.0660392583895766,0.123248287008332
"Beitbridge","2006","10",0.101318435067632,0.146863943377856,0.0233844257918089,0.108398220532067
"Beitbridge","2006","11",0.1189342393217,0.252651203079677,-0.0420406323090024,0.123232537530468
"Beitbridge","2006","12",0.183210646444726,0.29350923520033,-0.09700753160676,0.202265713155546
"Beitbridge","2007","01",0.20075579981652,0.364603231522176,-0.00772447456186601,0.212588435807969
"Beitbridge","2007","02",0.194263083682003,0.28871671441829,-0.0643009202058423,0.205213022948525
"Beitbridge","2007","03",0.185497776623671,0.394980409569439,-0.0422496722610764,0.209395390394969
"Beitbridge","2007","04",0.22606250240981,0.340571033364533,0.0152197677397928,0.24466637079793
"Beitbridge","2007","05",0.229831943391168,0.303410260480334,0.144674850504439,0.223756835094116
"Beitbridge","2007","06",0.179520714356074,0.262784117296398,0.0861231033697263,0.183003604646758
"Beitbridge","2007","07",0.15939746862001,0.231664871403297,0.0878270018653824,0.159755439669911
"Beitbridge","2007","08",0.134512453740487,0.184383101021876,0.0693875359471707,0.141109041472006
"Beitbridge","2007","09",0.114667612077252,0.161739082007222,-0.086221092445582,0.123583465391807
"Beitbridge","2007","10",0.121900259784786,0.259106226968229,-0.0615168472836157,0.15356936206594
"Beitbridge","2007","11",0.163852902508824,0.313687067838019,-0.0642551024673481,0.188502292758427
"Beitbridge","2007","12",0.157926725059153,0.338380920920916,-0.0381111628852236,0.166667680649268
"Beitbridge","2008","01",0.238852910978146,0.43979639117234,-0.0651719327525463,0.245421707100935
"Beitbridge","2008","02",0.239073080136441,0.384640217856389,0.0284178326901775,0.234911931336367
"Beitbridge","2008","03",0.179083650282858,0.314751056465078,0.0391249774886445,0.188940550642735
"Beitbridge","2008","04",0.181633907821884,0.261894236338416,-0.0159136704160473,0.181510627099106
"Beitbridge","2008","05",0.157283021797981,0.238936841364455,0.00626014752649798,0.163832935036211
"Beitbridge","2008","06",0.147352541822245,0.213251914601151,0.0279345499173674,0.158073976939015
"Beitbridge","2008","07",0.134647931261487,0.188931857373084,0.0633538505362052,0.140323339918444
"Beitbridge","2008","08",0.129399315001882,0.160756675121659,0.0662024646983151,0.134863421593719
"Beitbridge","2008","09",0.118051510761432,0.152273746219865,0.0558675041409351,0.118839830834934
"Beitbridge","2008","10",0.113643240006043,0.153221130105824,-0.0316570464042307,0.123500655427177
"Beitbridge","2008","11",0.0981668234887204,0.225579674009585,-0.0683107087982934,0.10366493876885
"Beitbridge","2008","12",0.124245535433502,0.201863277423944,-0.0470765314480376,0.154772615843559
"Beitbridge","2009","01",0.229485658880124,0.442267387767176,-0.0851480240105844,0.231172524295301
"Beitbridge","2009","02",0.314712960018191,0.531581464629794,-0.00988112506324597,0.332685744328367
"Beitbridge","2009","03",0.220996985005326,0.474713058167704,0.0181783924219599,0.241502573029377
"Beitbridge","2009","04",0.214684159877366,0.328166288396927,0.0475396739427551,0.224312929757347
"Beitbridge","2009","05",0.182444101009641,0.278842690105628,-0.0017989685440077,0.192933237955411
"Beitbridge","2009","06",0.153378660902373,0.236155461968649,-0.00115670044010616,0.163028944062859
"Beitbridge","2009","07",0.130843570282779,0.203976488239587,0.0649272003134966,0.136920110513507
"Beitbridge","2009","08",0.126188524617934,0.170147565365513,0.0438123738600881,0.129916165889334
"Beitbridge","2009","09",0.11359183538497,0.15731983177282,0.0689629983594938,0.118239151519157
"Beitbridge","2009","10",0.0936912894406901,0.146284260456879,-0.103098832096934,0.112464623569685
"Beitbridge","2009","11",0.0969112760688887,0.220292128409959,-0.258386031068611,0.113355788916677
"Beitbridge","2009","12",0.225783332775833,0.385788547102611,-0.0617693320436329,0.25232813354694
"Beitbridge","2010","01",0.204977271235859,0.336936855727111,-0.0872085197482328,0.242664513824924
