"","District","YearBegin","MonthBegin","AverageSoilMoisture","MaxSoilMoisture","MinSoilMoisture","group"
"1","Beitbridge",2016,"10",15.3582056914905,19.3721369083288,13.9089957588375,"A"
"2","Beitbridge",2016,"11",16.7162189028088,24.1933176133595,13.8813278162067,"B"
"3","Beitbridge",2016,"12",36.9638909458628,62.8691899350416,15.9963543698987,"C"
"4","Beitbridge",2017,"01",51.4500690763677,58.1166754640481,46.6960726813127,"D"
"5","Beitbridge",2017,"02",63.4610651278296,84.688918106012,36.7938555540275,"E"
"6","Beitbridge",2017,"03",41.7901664400008,70.6682464857823,20.5796870968547,"F"
"7","Beitbridge",2017,"04",19.4424013662921,24.9132975584257,15.7888128027842,"G"
"8","Beitbridge",2017,"05",20.0568964145682,27.0270447594428,15.658830772794,"H"
"9","Bikita",2016,"10",11.9790795675266,13.8950360801495,10.8485883233409,"A"
"10","Bikita",2016,"11",24.9625567817084,49.5112758706468,10.9660183583601,"B"
"11","Bikita",2016,"12",71.063131621856,102.591695545134,25.9386694316012,"C"
"12","Bikita",2017,"01",110.100971141732,118.897840046875,92.563219151734,"D"
"13","Bikita",2017,"02",91.7695910785708,109.826294619332,73.4503965210248,"E"
"14","Bikita",2017,"03",92.6659394381961,110.92448186963,65.0602947529864,"F"
"15","Bikita",2017,"04",43.2942772115933,55.224241745422,31.5304961717923,"G"
"16","Bikita",2017,"05",33.2833606533613,52.8783779256669,18.9845356254362,"H"
"17","Bindura",2016,"10",13.4108682453113,14.5636152550135,12.7804790359678,"A"
"18","Bindura",2016,"11",23.2328371658777,70.2157211887387,13.2402879912966,"B"
"19","Bindura",2016,"12",102.35983590978,128.348728595335,53.4739620272075,"C"
"20","Bindura",2017,"01",128.190299012029,128.390548966225,127.372271672135,"D"
"21","Bindura",2017,"02",126.133432639559,128.201998675472,122.586907763142,"E"
"22","Bindura",2017,"03",107.450174249815,125.541156441878,87.7494496385647,"F"
"23","Bindura",2017,"04",64.3145138113475,75.835360826716,50.1734023158987,"G"
"24","Bindura",2017,"05",45.8645827350444,61.2085854317742,33.2001200654464,"H"
"25","Binga",2016,"10",10.9691540181445,11.2535047758323,10.6985293900716,"A"
"26","Binga",2016,"11",16.0330685552585,35.7833722199338,11.2511711743064,"B"
"27","Binga",2016,"12",51.7128309349097,83.6899011616351,24.2127560590062,"C"
"28","Binga",2017,"01",109.969841514724,114.984914341088,91.5333661103673,"D"
"29","Binga",2017,"02",112.495013021223,115.300959967713,106.430153494546,"E"
"30","Binga",2017,"03",101.296451435096,115.631287251424,78.4675100021387,"F"
"31","Binga",2017,"04",54.1524941913269,68.6866832376404,47.5070046243031,"G"
"32","Binga",2017,"05",30.6045344504424,47.5961626668123,19.36182559203,"H"
"33","Bubi",2016,"10",9.57276245999915,10.4093360018699,9.06973368848809,"A"
"34","Bubi",2016,"11",14.643896300579,26.998018848631,9.49302824650576,"B"
"35","Bubi",2016,"12",39.8238827584749,75.9087272915112,15.0018548706628,"C"
"36","Bubi",2017,"01",94.843668158469,99.4891780030008,87.4412434033187,"D"
"37","Bubi",2017,"02",90.9123899919789,99.9692959171295,76.6751549987535,"E"
"38","Bubi",2017,"03",67.0754935233657,98.4556569393824,31.2715876104866,"F"
"39","Bubi",2017,"04",26.8948156533374,40.2640561446749,16.6272536930101,"G"
"40","Bubi",2017,"05",19.4524687906604,33.3506731116793,11.6992198610156,"H"
"41","Buhera",2016,"10",12.923279703261,18.668115755002,10.4321797846918,"A"
"42","Buhera",2016,"11",30.9511698205486,56.4147609277314,10.3966730314603,"B"
"43","Buhera",2016,"12",77.7434099150323,107.314515690295,30.9261132359716,"C"
"44","Buhera",2017,"01",109.92423652538,112.114827811608,106.060081544314,"D"
"45","Buhera",2017,"02",102.685425731512,111.454703588421,83.1322116585258,"E"
"46","Buhera",2017,"03",85.0083296632879,112.010068400203,50.1361281911605,"F"
"47","Buhera",2017,"04",31.6771203796524,40.9045478652425,22.9134804299433,"G"
"48","Buhera",2017,"05",24.2749305777339,36.4152729217557,15.69429835465,"H"
"49","Bulawayo",2016,"10",10.4856754494132,10.9420848948486,9.96383827016796,"A"
"50","Bulawayo",2016,"11",11.2471577503743,13.776009548779,10.0415969456615,"B"
"51","Bulawayo",2016,"12",45.3633693953638,97.8493050613144,10.3463977367061,"C"
"52","Bulawayo",2017,"01",104.536032228323,108.214463389117,97.8724047751644,"D"
"53","Bulawayo",2017,"02",103.866158249221,109.08514499493,87.7783164208843,"E"
"54","Bulawayo",2017,"03",83.362714754267,108.053074342283,49.6522073781902,"F"
"55","Bulawayo",2017,"04",36.6952617890489,44.1210159652841,32.3749185530909,"G"
"56","Bulawayo",2017,"05",20.7903474015898,31.1973954301843,14.881237750854,"H"
"57","Bulilima (North)",2016,"10",9.60786209217745,10.3811494799128,9.07897134120792,"A"
"58","Bulilima (North)",2016,"11",15.0766662122795,18.7736268501142,10.2057595659129,"B"
"59","Bulilima (North)",2016,"12",41.1493136818796,77.5627890064499,10.5454897965813,"C"
"60","Bulilima (North)",2017,"01",79.1340134703692,86.2539859375016,66.2427591821423,"D"
"61","Bulilima (North)",2017,"02",78.3068828486034,89.0824622750483,60.3469968433035,"E"
"62","Bulilima (North)",2017,"03",54.6944098333182,88.9210664630523,19.99759412559,"F"
"63","Bulilima (North)",2017,"04",18.1284104081445,20.2267548684835,15.4613570423948,"G"
"64","Bulilima (North)",2017,"05",11.9759873262676,16.5491071718604,10.2541312779194,"H"
"65","Centenary",2016,"10",13.7587815038572,14.5961606995935,13.338783054187,"A"
