"District","DateBegin","DateEnd","SoilMoisture"
"Masvingo","SM20150505","20150507",3.96482604059815
"Mwenezi","SM20150505","20150507",2.62073225120597
"Zaka","SM20150505","20150507",4.06188001222801
"Chegutu","SM20150505","20150507",11.1922057228743
"Hurungwe","SM20150505","20150507",7.44412915797235
"Kadoma","SM20150505","20150507",8.42456971585904
"Kariba","SM20150505","20150507",13.7812781507415
"Makonde","SM20150505","20150507",7.72042089965992
"Zvimba","SM20150505","20150507",9.80494447727816
"Harare","SM20150508","20150510",13.1732079447552
"Bulawayo","SM20150508","20150510",3.10027380835917
"Buhera","SM20150508","20150510",6.93615280792874
"Chimanimani","SM20150508","20150510",10.206096358741
"Chipinge","SM20150508","20150510",5.41484824282259
"Makoni","SM20150508","20150510",9.68458103873958
"Mutare","SM20150508","20150510",6.36155892630431
"Mutasa","SM20150508","20150510",8.37112763566006
"Nyanga","SM20150508","20150510",7.66188225301481
"Bindura","SM20150508","20150510",6.62894189779797
"Guruve","SM20150508","20150510",5.26176556944416
"Mount Darwin","SM20150508","20150510",4.72892717836456
"Mazowe","SM20150508","20150510",8.76952532195599
"Centenary","SM20150508","20150510",6.77910928257579
"Rushinga","SM20150508","20150510",2.95027425447613
"Shamva","SM20150508","20150510",5.00280411559639
"Chikomba","SM20150508","20150510",9.54326629596045
"Goromonzi","SM20150508","20150510",9.67325290307627
"Marondera","SM20150508","20150510",12.0768668875081
"Mudzi","SM20150508","20150510",2.95618210936087
"Mutoko","SM20150508","20150510",3.20290190208208
"Murehwa","SM20150508","20150510",8.43887574662526
"UMP","SM20150508","20150510",3.40146665089145
"Seke","SM20150508","20150510",11.3183125707631
"Wedza","SM20150508","20150510",9.18476159363477
"Chirumhanzu","SM20150508","20150510",5.87307498273102
"Gokwe North","SM20150508","20150510",5.81007027560555
"Gokwe South","SM20150508","20150510",5.68218605447843
"Gweru","SM20150508","20150510",5.21472228715969
"Kwekwe","SM20150508","20150510",4.34577821182158
"Mberengwa","SM20150508","20150510",3.02492011092992
"Shurugwi","SM20150508","20150510",5.52560216721906
"Zvishavane","SM20150508","20150510",3.61216818409716
"Binga","SM20150508","20150510",6.13572160868035
"Bubi","SM20150508","20150510",3.56994851479686
"Hwange","SM20150508","20150510",3.40884653281129
"Lupane","SM20150508","20150510",3.38065006303527
"Nkayi","SM20150508","20150510",3.53248108269599
"Tsholotsho","SM20150508","20150510",2.52805468281513
"Umguza","SM20150508","20150510",3.05131973247174
"Beitbridge","SM20150508","20150510",2.35572006019441
"Bulilima (North)","SM20150508","20150510",2.67983308007901
"Gwanda","SM20150508","20150510",2.86525140228218
"Insiza","SM20150508","20150510",4.49773319671644
"Mangwe (South)","SM20150508","20150510",2.62529229624077
"Matobo","SM20150508","20150510",3.20188543703205
"Umzingwane","SM20150508","20150510",4.06190154356215
"Bikita","SM20150508","20150510",4.34818444087998
"Chiredzi","SM20150508","20150510",2.54452886661727
"Chivi","SM20150508","20150510",2.91513231195829
"Gutu","SM20150508","20150510",6.53302643334797
"Masvingo","SM20150508","20150510",3.61337493574565
"Mwenezi","SM20150508","20150510",2.46586354094432
"Zaka","SM20150508","20150510",3.79640909091252
"Chegutu","SM20150508","20150510",9.93855687848566
"Hurungwe","SM20150508","20150510",6.75179178324406
"Kadoma","SM20150508","20150510",7.34933276130278
"Kariba","SM20150508","20150510",12.9234071164001
"Makonde","SM20150508","20150510",6.94359744174579
"Zvimba","SM20150508","20150510",8.70900434637653
"Harare","SM20150511","20150513",12.5537442294394
"Bulawayo","SM20150511","20150513",2.96276377755788
"Buhera","SM20150511","20150513",5.7570895366415
"Chimanimani","SM20150511","20150513",9.29317099622994
"Chipinge","SM20150511","20150513",4.82051026790955
"Makoni","SM20150511","20150513",8.52220102643471
"Mutare","SM20150511","20150513",5.41174447817924
"Mutasa","SM20150511","20150513",7.37099199446887
"Nyanga","SM20150511","20150513",7.19041010620507
"Bindura","SM20150511","20150513",6.17419777180788
"Guruve","SM20150511","20150513",4.85194117687522
"Mount Darwin","SM20150511","20150513",4.3758687977428
"Mazowe","SM20150511","20150513",8.38201590786222
"Centenary","SM20150511","20150513",6.37169686582844
"Rushinga","SM20150511","20150513",2.94137689745473
"Shamva","SM20150511","20150513",4.61768469547512
"Chikomba","SM20150511","20150513",8.33600083699186
"Goromonzi","SM20150511","20150513",8.78279627277589
"Marondera","SM20150511","20150513",10.7467795142138
"Mudzi","SM20150511","20150513",3.02585863024902
"Mutoko","SM20150511","20150513",3.27765968130444
"Murehwa","SM20150511","20150513",7.66812223580678
"UMP","SM20150511","20150513",3.25902791996708
"Seke","SM20150511","20150513",10.2601762851873
"Wedza","SM20150511","20150513",7.72144031921523
"Chirumhanzu","SM20150511","20150513",5.0119043063107
"Gokwe North","SM20150511","20150513",4.81101886451902
"Gokwe South","SM20150511","20150513",4.74448625740701
"Gweru","SM20150511","20150513",4.4646299297657
"Kwekwe","SM20150511","20150513",3.74978700208874
"Mberengwa","SM20150511","20150513",2.71982449984256
"Shurugwi","SM20150511","20150513",4.75238047126668
"Zvishavane","SM20150511","20150513",3.09996676891819
"Binga","SM20150511","20150513",5.35812946733427
"Bubi","SM20150511","20150513",3.10168203380494
"Hwange","SM20150511","20150513",3.14892589243791
"Lupane","SM20150511","20150513",3.11927320454346
"Nkayi","SM20150511","20150513",3.11720614946163
"Tsholotsho","SM20150511","20150513",2.44388152220239
"Umguza","SM20150511","20150513",2.83119166993043
"Beitbridge","SM20150511","20150513",2.31391723514524
"Bulilima (North)","SM20150511","20150513",2.42671078973176
"Gwanda","SM20150511","20150513",2.65931352439719
"Insiza","SM20150511","20150513",3.85500766588114
"Mangwe (South)","SM20150511","20150513",2.48803124351816
"Matobo","SM20150511","20150513",2.91231578530658
"Umzingwane","SM20150511","20150513",3.53755002352953
"Bikita","SM20150511","20150513",3.57510222996475
"Chiredzi","SM20150511","20150513",2.48532031872558
"Chivi","SM20150511","20150513",2.62952105886201
"Gutu","SM20150511","20150513",5.4901550124373
"Masvingo","SM20150511","20150513",3.15409282975375
"Mwenezi","SM20150511","20150513",2.44644223862899
"Zaka","SM20150511","20150513",3.15819695587537
"Chegutu","SM20150511","20150513",8.6729114740869
"Hurungwe","SM20150511","20150513",6.04906211325148
"Kadoma","SM20150511","20150513",6.28352856942529
"Kariba","SM20150511","20150513",11.85414757065
"Makonde","SM20150511","20150513",6.10392117306605
"Zvimba","SM20150511","20150513",7.72457784599849
"Harare","SM20150514","20150516",11.4718995570642
"Bulawayo","SM20150514","20150516",2.78107230471479
"Buhera","SM20150514","20150516",4.88134129037986
"Chimanimani","SM20150514","20150516",8.59294609863528
"Chipinge","SM20150514","20150516",4.35394009834541
"Makoni","SM20150514","20150516",7.49875991426244
"Mutare","SM20150514","20150516",4.74138148894023
"Mutasa","SM20150514","20150516",6.57038100857577
"Nyanga","SM20150514","20150516",6.51710676848256
"Bindura","SM20150514","20150516",5.20939726092948
"Guruve","SM20150514","20150516",4.29604779634951
"Mount Darwin","SM20150514","20150516",3.8527945830148
"Mazowe","SM20150514","20150516",7.18400423524425
"Centenary","SM20150514","20150516",5.49461606583351
"Rushinga","SM20150514","20150516",2.88384655877731
"Shamva","SM20150514","20150516",4.04126543507606
"Chikomba","SM20150514","20150516",7.32653483736114
"Goromonzi","SM20150514","20150516",7.6347233987383
"Marondera","SM20150514","20150516",9.69161865572374
"Mudzi","SM20150514","20150516",2.94830820354013
"Mutoko","SM20150514","20150516",2.89099705451654
"Murehwa","SM20150514","20150516",6.31666147703171
"UMP","SM20150514","20150516",3.06707546767004
"Seke","SM20150514","20150516",9.18635844729013
"Wedza","SM20150514","20150516",6.73977702771174
"Chirumhanzu","SM20150514","20150516",4.35734135582285
"Gokwe North","SM20150514","20150516",4.00325568291663
"Gokwe South","SM20150514","20150516",4.10344315924415
"Gweru","SM20150514","20150516",3.99523442074122
"Kwekwe","SM20150514","20150516",3.36191094117037
"Mberengwa","SM20150514","20150516",2.58509938990107
"Shurugwi","SM20150514","20150516",4.13899301672445
"Zvishavane","SM20150514","20150516",2.75838733867538
"Binga","SM20150514","20150516",4.91055395812331
"Bubi","SM20150514","20150516",2.913683045478
"Hwange","SM20150514","20150516",2.97966222243896
"Lupane","SM20150514","20150516",2.9267956450986
"Nkayi","SM20150514","20150516",2.83597179847194
"Tsholotsho","SM20150514","20150516",2.47366020839564
"Umguza","SM20150514","20150516",2.7012849927861
"Beitbridge","SM20150514","20150516",2.25508805814807
"Bulilima (North)","SM20150514","20150516",2.40043488949426
"Gwanda","SM20150514","20150516",2.55608944135552
"Insiza","SM20150514","20150516",3.46465564583869
"Mangwe (South)","SM20150514","20150516",2.41378603087816
"Matobo","SM20150514","20150516",2.73562497500663
"Umzingwane","SM20150514","20150516",3.21807605435423
"Bikita","SM20150514","20150516",3.09082169773401
"Chiredzi","SM20150514","20150516",2.38973116796398
"Chivi","SM20150514","20150516",2.47473203581732
"Gutu","SM20150514","20150516",4.70578918102184
"Masvingo","SM20150514","20150516",2.82441838333227
"Mwenezi","SM20150514","20150516",2.38333955288918
"Zaka","SM20150514","20150516",2.83771864133024
"Chegutu","SM20150514","20150516",7.76370329143443
"Hurungwe","SM20150514","20150516",5.42744780058537
"Kadoma","SM20150514","20150516",5.49518555150842
"Kariba","SM20150514","20150516",11.1338695709735
"Makonde","SM20150514","20150516",5.34537671627199
"Zvimba","SM20150514","20150516",6.79840529758996
"Harare","SM20150517","20150519",10.6372033869577
"Bulawayo","SM20150517","20150519",2.74017664909744
"Buhera","SM20150517","20150519",4.27627595237633
"Chimanimani","SM20150517","20150519",8.04295128247171
"Chipinge","SM20150517","20150519",4.13735251749269
"Makoni","SM20150517","20150519",6.65727781199084
"Mutare","SM20150517","20150519",4.2474880797166
"Mutasa","SM20150517","20150519",5.9475984745438
"Nyanga","SM20150517","20150519",6.13829384225462
"Bindura","SM20150517","20150519",4.72979777860731
"Guruve","SM20150517","20150519",3.91072901647782
"Mount Darwin","SM20150517","20150519",3.54842605281938
"Mazowe","SM20150517","20150519",6.28716398096097
"Centenary","SM20150517","20150519",4.95212223423355
