"District","Year","Month","AveragePRECIP","MaxPRECIP","MinPRECIP"
"Beitbridge","2000","03",72.9502997350751,72.9502997350751,72.9502997350751
"Beitbridge","2000","04",15.5356766049695,15.5356766049695,15.5356766049695
"Beitbridge","2000","05",9.641771988872,9.641771988872,9.641771988872
"Beitbridge","2000","06",25.4170343889033,25.4170343889033,25.4170343889033
"Beitbridge","2000","07",6.1353345945094,6.1353345945094,6.1353345945094
"Beitbridge","2000","08",0.0511901206538467,0.0511901206538467,0.0511901206538467
"Beitbridge","2000","09",9.80849903563412,9.80849903563412,9.80849903563412
"Beitbridge","2000","10",12.0743928116655,12.0743928116655,12.0743928116655
"Beitbridge","2000","11",49.2231902267272,49.2231902267272,49.2231902267272
"Beitbridge","2000","12",38.7540625377467,38.7540625377467,38.7540625377467
"Beitbridge","2001","01",3.97761455795844,3.97761455795844,3.97761455795844
"Beitbridge","2001","02",147.277946246488,147.277946246488,147.277946246488
"Beitbridge","2001","03",56.474682964779,56.474682964779,56.474682964779
"Beitbridge","2001","04",20.6854839773593,20.6854839773593,20.6854839773593
"Beitbridge","2001","05",10.0672612093097,10.0672612093097,10.0672612093097
"Beitbridge","2001","06",6.46242532826705,6.46242532826705,6.46242532826705
"Beitbridge","2001","07",8.08468186962418,8.08468186962418,8.08468186962418
"Beitbridge","2001","08",0.0585821495918242,0.0585821495918242,0.0585821495918242
"Beitbridge","2001","09",17.5986145029611,17.5986145029611,17.5986145029611
"Beitbridge","2001","10",8.20826726030083,8.20826726030083,8.20826726030083
"Beitbridge","2001","11",96.92224485769,96.92224485769,96.92224485769
"Beitbridge","2001","12",72.3900714960169,72.3900714960169,72.3900714960169
"Beitbridge","2002","01",29.7203002848608,29.7203002848608,29.7203002848608
"Beitbridge","2002","02",1.51839996020513,1.51839996020513,1.51839996020513
"Beitbridge","2002","03",3.8156501161649,3.8156501161649,3.8156501161649
"Beitbridge","2002","04",21.2216520415802,21.2216520415802,21.2216520415802
"Beitbridge","2002","05",1.71574649690313,1.71574649690313,1.71574649690313
"Beitbridge","2002","06",10.7896559472214,10.7896559472214,10.7896559472214
"Beitbridge","2002","07",1.66445407279248,1.66445407279248,1.66445407279248
"Beitbridge","2002","08",0.897495078542707,0.897495078542707,0.897495078542707
"Beitbridge","2002","09",9.65007786718288,9.65007786718288,9.65007786718288
"Beitbridge","2002","10",22.1485676030683,22.1485676030683,22.1485676030683
"Beitbridge","2002","11",16.1414324997267,16.1414324997267,16.1414324997267
"Beitbridge","2002","12",39.1383568182734,39.1383568182734,39.1383568182734
"Beitbridge","2003","01",29.4442727857215,29.4442727857215,29.4442727857215
"Beitbridge","2003","02",12.1149543247606,12.1149543247606,12.1149543247606
"Beitbridge","2003","03",56.5887068028544,56.5887068028544,56.5887068028544
"Beitbridge","2003","04",1.14249213582826,1.14249213582826,1.14249213582826
"Beitbridge","2003","05",1.50162586128441,1.50162586128441,1.50162586128441
"Beitbridge","2003","06",25.6513162726427,25.6513162726427,25.6513162726427
"Beitbridge","2003","07",0.536271995824336,0.536271995824336,0.536271995824336
"Beitbridge","2003","08",0.397467745834169,0.397467745834169,0.397467745834169
"Beitbridge","2003","09",4.54725375033358,4.54725375033358,4.54725375033358
"Beitbridge","2003","10",70.3758335941562,70.3758335941562,70.3758335941562
"Beitbridge","2003","11",32.104180777796,32.104180777796,32.104180777796
"Beitbridge","2003","12",49.9159043470434,49.9159043470434,49.9159043470434
"Beitbridge","2004","01",96.7327593269886,96.7327593269886,96.7327593269886
"Beitbridge","2004","02",52.5830226087103,52.5830226087103,52.5830226087103
"Beitbridge","2004","03",148.057575555292,148.057575555292,148.057575555292
"Beitbridge","2004","04",21.6724868236584,21.6724868236584,21.6724868236584
"Beitbridge","2004","05",0.418268698989069,0.418268698989069,0.418268698989069
"Beitbridge","2004","06",1.23236975349679,1.23236975349679,1.23236975349679
"Beitbridge","2004","07",2.27165919554507,2.27165919554507,2.27165919554507
"Beitbridge","2004","08",1.16205121210101,1.16205121210101,1.16205121210101
"Beitbridge","2004","09",2.34365180108226,2.34365180108226,2.34365180108226
"Beitbridge","2004","10",14.959792074835,14.959792074835,14.959792074835
"Beitbridge","2004","11",26.6304569845398,26.6304569845398,26.6304569845398
"Beitbridge","2004","12",59.497871563569,59.497871563569,59.497871563569
"Beitbridge","2005","01",38.5005569407315,38.5005569407315,38.5005569407315
"Beitbridge","2005","02",14.7217367386258,14.7217367386258,14.7217367386258
"Beitbridge","2005","03",19.7606874793768,19.7606874793768,19.7606874793768
"Beitbridge","2005","04",11.6663286474369,11.6663286474369,11.6663286474369
"Beitbridge","2005","05",2.09627296443271,2.09627296443271,2.09627296443271
"Beitbridge","2005","06",0.850860857790537,0.850860857790537,0.850860857790537
"Beitbridge","2005","07",0.788254605363336,0.788254605363336,0.788254605363336
"Beitbridge","2005","08",0.416358507529916,0.416358507529916,0.416358507529916
"Beitbridge","2005","09",1.73257028933468,1.73257028933468,1.73257028933468
"Beitbridge","2005","10",2.77817283325682,2.77817283325682,2.77817283325682
"Beitbridge","2005","11",31.2145857906225,31.2145857906225,31.2145857906225
"Beitbridge","2005","12",72.6252240810909,72.6252240810909,72.6252240810909
"Beitbridge","2006","01",88.3970056333086,88.3970056333086,88.3970056333086
"Beitbridge","2006","02",104.423642094053,104.423642094053,104.423642094053
"Beitbridge","2006","03",54.4051881332608,54.4051881332608,54.4051881332608
"Beitbridge","2006","04",6.44418335037178,6.44418335037178,6.44418335037178
"Beitbridge","2006","05",3.98578966680498,3.98578966680498,3.98578966680498
