"Year","Month","Day","Precipitation","District"
"2000","04","01",34.7707223816538,"Kadoma"
"2000","04","01",22.5640618512005,"Kariba"
"2000","04","01",31.1715838752979,"Makonde"
"2000","04","01",26.8749211286067,"Zvimba"
"2000","05","01",5.22120056725016,"Harare"
"2000","05","01",0.410717028993018,"Bulawayo"
"2000","05","01",13.3327419734761,"Buhera"
"2000","05","01",7.41679646264689,"Chimanimani"
"2000","05","01",11.3950295189578,"Chipinge"
"2000","05","01",19.2409441535525,"Makoni"
"2000","05","01",12.2133614949298,"Mutare"
"2000","05","01",5.02073284865302,"Mutasa"
"2000","05","01",8.48263485712529,"Nyanga"
"2000","05","01",8.77916485580305,"Bindura"
"2000","05","01",7.50581340781714,"Guruve"
"2000","05","01",1.9335458991346,"Mount Darwin"
"2000","05","01",23.2129693448982,"Mazowe"
"2000","05","01",2.68809831392696,"Centenary"
"2000","05","01",1.4952099646533,"Rushinga"
"2000","05","01",6.30354545156965,"Shamva"
"2000","05","01",23.1265767146559,"Chikomba"
"2000","05","01",12.2060580605093,"Goromonzi"
"2000","05","01",13.3150098133905,"Marondera"
"2000","05","01",2.88311136249526,"Mudzi"
"2000","05","01",6.18093406064984,"Mutoko"
"2000","05","01",12.9585517649703,"Murehwa"
"2000","05","01",4.98162076886305,"UMP"
"2000","05","01",11.3326968553896,"Seke"
"2000","05","01",8.25704063688423,"Wedza"
"2000","05","01",11.6942629081215,"Chirumhanzu"
"2000","05","01",27.8930080315646,"Gokwe North"
"2000","05","01",42.3527184716481,"Gokwe South"
"2000","05","01",9.97861599102617,"Gweru"
"2000","05","01",25.9562186637346,"Kwekwe"
"2000","05","01",7.98295178195718,"Mberengwa"
"2000","05","01",6.82511802583056,"Shurugwi"
"2000","05","01",5.11299077273876,"Zvishavane"
"2000","05","01",27.2390221700364,"Binga"
"2000","05","01",6.32470363050554,"Bubi"
"2000","05","01",18.6844145409763,"Hwange"
"2000","05","01",12.9481353261965,"Lupane"
"2000","05","01",14.6089691404984,"Nkayi"
"2000","05","01",4.67512906656107,"Tsholotsho"
"2000","05","01",4.8211983739234,"Umguza"
"2000","05","01",9.641771988872,"Beitbridge"
"2000","05","01",3.90104882341682,"Bulilima (North)"
"2000","05","01",6.71843514675823,"Gwanda"
"2000","05","01",8.73777076282045,"Insiza"
"2000","05","01",3.0113678541911,"Mangwe (South)"
"2000","05","01",4.4528487773466,"Matobo"
"2000","05","01",2.4957330416961,"Umzingwane"
"2000","05","01",11.5928829263969,"Bikita"
"2000","05","01",35.5334646869086,"Chiredzi"
"2000","05","01",8.69956643482049,"Chivi"
"2000","05","01",17.1876945298384,"Gutu"
"2000","05","01",17.6271429895478,"Masvingo"
"2000","05","01",17.2969209623541,"Mwenezi"
"2000","05","01",8.0600129110556,"Zaka"
"2000","05","01",29.0041611591975,"Chegutu"
"2000","05","01",29.5003064697905,"Hurungwe"
"2000","05","01",39.332495967401,"Kadoma"
"2000","05","01",19.7440490303598,"Kariba"
"2000","05","01",37.6021546825621,"Makonde"
"2000","05","01",43.5695059296255,"Zvimba"
"2000","06","01",1.39601391683168,"Harare"
"2000","06","01",1.51910474472771,"Bulawayo"
"2000","06","01",14.1663203239879,"Buhera"
"2000","06","01",11.0779975688048,"Chimanimani"
"2000","06","01",16.2605337505831,"Chipinge"
"2000","06","01",21.446950589135,"Makoni"
"2000","06","01",15.5801944435373,"Mutare"
"2000","06","01",10.3124998240494,"Mutasa"
"2000","06","01",14.0165509449208,"Nyanga"
"2000","06","01",3.66214598843134,"Bindura"
"2000","06","01",5.30683500417965,"Guruve"
"2000","06","01",2.05637333323978,"Mount Darwin"
"2000","06","01",7.42781558602902,"Mazowe"
"2000","06","01",1.9403890208889,"Centenary"
"2000","06","01",1.01187426087757,"Rushinga"
"2000","06","01",3.83760086580307,"Shamva"
"2000","06","01",10.1802706246429,"Chikomba"
"2000","06","01",4.37797328081786,"Goromonzi"
"2000","06","01",8.04331592788883,"Marondera"
"2000","06","01",2.59981118232085,"Mudzi"
"2000","06","01",6.26812143046044,"Mutoko"
"2000","06","01",7.91698477760542,"Murehwa"
"2000","06","01",3.36155303420828,"UMP"
"2000","06","01",3.70739114163991,"Seke"
"2000","06","01",6.05221960185205,"Wedza"
"2000","06","01",5.46913691318649,"Chirumhanzu"
"2000","06","01",2.8975582951899,"Gokwe North"
"2000","06","01",5.59678762856068,"Gokwe South"
"2000","06","01",7.59280477608098,"Gweru"
"2000","06","01",7.19837054532094,"Kwekwe"
"2000","06","01",13.9153866241522,"Mberengwa"
"2000","06","01",4.83542575060445,"Shurugwi"
"2000","06","01",6.46289142950201,"Zvishavane"
"2000","06","01",6.78819854928674,"Binga"
"2000","06","01",11.4671371887858,"Bubi"
"2000","06","01",17.7030230710228,"Hwange"
"2000","06","01",6.7925324932106,"Lupane"
"2000","06","01",5.69958625045404,"Nkayi"
"2000","06","01",14.7134287021251,"Tsholotsho"
"2000","06","01",15.1501352475701,"Umguza"
"2000","06","01",25.4170343889033,"Beitbridge"
"2000","06","01",18.2950329103014,"Bulilima (North)"
"2000","06","01",28.6600416624225,"Gwanda"
"2000","06","01",19.662910025523,"Insiza"
"2000","06","01",21.8828367840426,"Mangwe (South)"
"2000","06","01",26.9521667088364,"Matobo"
"2000","06","01",9.45285509436154,"Umzingwane"
"2000","06","01",13.9148212633443,"Bikita"
"2000","06","01",51.684634862212,"Chiredzi"
"2000","06","01",9.17262033275238,"Chivi"
"2000","06","01",13.5639598060034,"Gutu"
"2000","06","01",18.3231051389201,"Masvingo"
"2000","06","01",28.7496565956403,"Mwenezi"
"2000","06","01",9.2716896297885,"Zaka"
"2000","06","01",6.76471544879251,"Chegutu"
"2000","06","01",10.2655338784652,"Hurungwe"
"2000","06","01",7.12087367859614,"Kadoma"
"2000","06","01",3.10135350350985,"Kariba"
"2000","06","01",7.60385337771081,"Makonde"
"2000","06","01",9.14956826540258,"Zvimba"
"2000","07","01",0.0722653808200038,"Harare"
"2000","07","01",0.0622713475926396,"Bulawayo"
"2000","07","01",6.23713457209661,"Buhera"
"2000","07","01",3.9818755604692,"Chimanimani"
"2000","07","01",6.36951854266226,"Chipinge"
"2000","07","01",4.30215546573677,"Makoni"
