"Region","Year","Month","AverageEVI","MaxEVI","MinEVI","MedianEVI"
"I","2005","03",0.350679787961302,0.481660370238981,0.0349673499502257,0.372146936036409
"I","2005","04",0.333037942385763,0.464429341013243,0.142733401837775,0.337515970622349
"I","2005","05",0.299260529948991,0.427083764518162,0.134272717638518,0.305668362643059
"I","2005","06",0.252230488169804,0.376689597680412,0.0767109909512334,0.269652979329311
"I","2005","07",0.206850772426402,0.325846661266108,0.0701308795731421,0.221447769077156
"I","2005","08",0.218743014926937,0.289254052732837,0.123890658059054,0.211036040672517
"I","2005","09",0.206801790292791,0.278934749993411,0.100975156227758,0.202878531473282
"I","2005","10",0.192997155368127,0.280925810395413,0.0450153905974198,0.195623964043071
"I","2005","11",0.19423468933182,0.30326663628901,-0.0414922345504144,0.196702696293172
"I","2005","12",0.183617465123685,0.409787794867689,-0.126257697237849,0.203227721553304
"I","2006","01",0.318766642516912,0.502483519372496,0.103186367513835,0.349881071622306
"I","2006","02",0.387456214436944,0.558291777921498,0.239935773374359,0.373079816330011
"I","2006","03",0.274710450006288,0.497121094262785,-0.0286188622970241,0.294564894574937
"I","2006","04",0.332651476258656,0.473325586400861,0.0925964447471369,0.362097666936212
"I","2006","05",0.328810449850259,0.483408279393445,0.127376074667649,0.33948251685544
"I","2006","06",0.263690617307472,0.435174403098157,0.125301552215508,0.275303682000604
"I","2006","07",0.265896591429768,0.361258341700817,0.158562008846515,0.265710066262944
"I","2006","08",0.230664383991822,0.337309517057918,0.0797934893352755,0.237889600534618
"I","2006","09",0.221985550459996,0.280732099268186,0.155182074192336,0.217205387241858
"I","2006","10",0.213509358581601,0.294903608090877,0.0855583055535839,0.224553751911988
"I","2006","11",0.210221984116981,0.316767380788201,0.0796203481270701,0.230298998924119
"I","2006","12",0.26658770242787,0.378764309995946,0.000176891647807606,0.28088763344535
"I","2007","01",0.251043280923445,0.463819230541545,0.0134926239437749,0.260109601329721
"I","2007","02",0.300651389512688,0.502655430750113,-0.181875042740745,0.32020454258899
"I","2007","03",0.38174810558218,0.543274022019744,0.170464514928619,0.379578075082355
"I","2007","04",0.333570577113932,0.521684618791755,0.145290413973419,0.347568572125341
"I","2007","05",0.338378556929329,0.453128908088447,0.252662596551404,0.33489276299715
"I","2007","06",0.276407427945471,0.402279373570163,0.140487646241191,0.282463910526146
"I","2007","07",0.244268851853611,0.380645306066737,0.0940433709159086,0.242142697407569
"I","2007","08",0.209376164456679,0.33230186813443,0.108670145180752,0.213589046855603
"I","2007","09",0.200732921073696,0.285308834509233,0.0705588213899247,0.204576330430641
"I","2007","10",0.194475961717831,0.277911068999316,0.0166352810769206,0.210913438850747
"I","2007","11",0.181017168574315,0.373082212273907,0.0239906980471928,0.194963847009756
"I","2007","12",0.185558755729265,0.354045021057995,-0.00722441909256598,0.209521888105952
"I","2008","01",0.296415072337894,0.474748286594359,0.0952814522441186,0.293233030734943
"I","2008","02",0.380919485687486,0.517231219662862,0.218754602667062,0.390318560625065
"I","2008","03",0.33650884847783,0.506974999148323,0.122802749292588,0.341237450980442
"I","2008","04",0.355484490628651,0.457767966575269,0.278092513034492,0.336606524498227
"I","2008","05",0.290992028159824,0.404434517878393,0.154653315161394,0.287392421388068
"I","2008","06",0.281294980574634,0.393107944269522,0.137765131283473,0.281795295693447
"I","2008","07",0.232814598127436,0.36021818676009,0.115292668442276,0.234886283730658
"I","2008","08",0.218249184770289,0.28645828587687,0.0971990064186177,0.222236836753422
"I","2008","09",0.202224203901925,0.276543768007391,0.0961288500052169,0.19951569377863
"I","2008","10",0.204007433579296,0.275312636790644,0.0366467118430939,0.210807796129394
"I","2008","11",0.188805289952005,0.314369462292819,0.00164669945455032,0.200270958529073
"I","2008","12",0.21608482330994,0.367166484633008,-0.018824557039184,0.238780565250044
"I","2009","01",0.318233771030334,0.487959777405063,0.0715167641491165,0.340163674504308
"I","2009","02",0.352606183517515,0.528754866853368,0.0786711135853125,0.374236613085537
"I","2009","03",0.298874363097841,0.502483653608296,0.0621575273128393,0.301552921142423
"I","2009","04",0.331569058625453,0.465281199234333,0.117433783437041,0.366934719905608
"I","2009","05",0.312117226984511,0.446716972484971,-0.0345013718058728,0.341209154507055
"I","2009","06",0.292668726808771,0.43300427751925,0.0938948936388409,0.298268283926361
"I","2009","07",0.212384650720451,0.3680489065755,0.0795180141507496,0.220077413557362
"I","2009","08",0.244378094852789,0.348345909488768,0.108125710423271,0.238742960983615
"I","2009","09",0.210036798985563,0.299951122463677,0.10713454660516,0.223032713380737
"I","2009","10",0.233404782965533,0.304550425253346,0.0891890254834711,0.233529429515539
"I","2009","11",0.200550109588293,0.389352705722429,-0.262869739432786,0.234341133898395
"I","2009","12",0.302608249477535,0.484959252487311,0.0570466234588418,0.323943317769078
"I","2010","01",0.335530679306616,0.457851386232617,0.0714795372268243,0.328775046891325
"I","2010","02",0.283191620826066,0.471707346247396,0.0704833775566334,0.303866957815116
"I","2010","03",0.342916633359727,0.492506546931438,0.165703843098889,0.362386608750974
"I","2010","04",0.30399737929913,0.456322095356078,0.0486342167604853,0.317448985364533
"I","2010","05",0.312888525406496,0.487075873336319,0.0531880537477774,0.333205947506178
"I","2010","06",0.286340462981914,0.442050240710008,0.126619995547408,0.291879016833838
"I","2010","07",0.236136638843091,0.334912782604179,0.0906152397112448,0.243924325303963
"I","2010","08",0.220591502827659,0.306221023886535,0.111154554834513,0.235848124881685
"I","2010","09",0.212375758740791,0.286014177685043,0.0481974631840942,0.217089713505109
