"Date","District","dailyPRECIP","Rain_Dry","ID","newDate","month","year"
"20101121","Goromonzi",2.90982203789385,1,19,2010-11-21,"11",2010
"20101121","Guruve",0.15120188231226,1,20,2010-11-21,"11",2010
"20101121","Gutu",4.82146542418444e-06,1,21,2010-11-21,"11",2010
"20101121","Gwanda",0,1,22,2010-11-21,"11",2010
"20101121","Gweru",0.145613041555752,1,23,2010-11-21,"11",2010
"20101121","Harare",7.81633386588791,0,24,2010-11-21,"11",2010
"20101121","Hurungwe",0.246808436043297,1,25,2010-11-21,"11",2010
"20101121","Hwange",0.429305527935418,1,26,2010-11-21,"11",2010
"20101121","Insiza",0,1,27,2010-11-21,"11",2010
"20101121","Kadoma",6.69280709235458,0,28,2010-11-21,"11",2010
"20101121","Kariba",0.414499489532635,1,29,2010-11-21,"11",2010
"20101121","Kwekwe",1.62923603299658,1,30,2010-11-21,"11",2010
"20101121","Lupane",0.00442823004767933,1,31,2010-11-21,"11",2010
"20101121","Makonde",2.72354544927451,1,32,2010-11-21,"11",2010
"20101121","Makoni",1.12120964706051,1,33,2010-11-21,"11",2010
"20101121","Mangwe (South)",0,1,34,2010-11-21,"11",2010
"20101121","Marondera",0.0830227615774955,1,35,2010-11-21,"11",2010
"20101121","Masvingo",0.00128491536274507,1,36,2010-11-21,"11",2010
"20101121","Matobo",0,1,37,2010-11-21,"11",2010
"20101121","Mazowe",2.02310118956635,1,38,2010-11-21,"11",2010
"20101121","Mberengwa",0,1,39,2010-11-21,"11",2010
"20101121","Mount Darwin",2.13351025843994,1,40,2010-11-21,"11",2010
"20101121","Mudzi",5.20106643894517,0,41,2010-11-21,"11",2010
"20101121","Murehwa",6.42956066052568,0,42,2010-11-21,"11",2010
"20101121","Mutare",0.60709557358718,1,43,2010-11-21,"11",2010
"20101121","Mutasa",0.76544174813261,1,44,2010-11-21,"11",2010
"20101121","Mutoko",7.44274609021265,0,45,2010-11-21,"11",2010
"20101121","Mwenezi",0,1,46,2010-11-21,"11",2010
"20101121","Nkayi",0,1,47,2010-11-21,"11",2010
"20101121","Nyanga",2.66054236830385,1,48,2010-11-21,"11",2010
"20101121","Rushinga",4.28926508696395,0,49,2010-11-21,"11",2010
"20101121","Seke",0.494829125305096,1,50,2010-11-21,"11",2010
"20101121","Shamva",6.0871787749784,0,51,2010-11-21,"11",2010
"20101121","Shurugwi",0,1,52,2010-11-21,"11",2010
"20101121","Tsholotsho",0.073140102417283,1,53,2010-11-21,"11",2010
"20101121","Umguza",0,1,54,2010-11-21,"11",2010
"20101121","UMP",6.20614282406618,0,55,2010-11-21,"11",2010
"20101121","Umzingwane",0,1,56,2010-11-21,"11",2010
"20101121","Wedza",0,1,57,2010-11-21,"11",2010
"20101121","Zaka",0,1,58,2010-11-21,"11",2010
"20101121","Zvimba",3.74474741260219,0,59,2010-11-21,"11",2010
"20101121","Zvishavane",0,1,60,2010-11-21,"11",2010
"20101122","Beitbridge",0,1,1,2010-11-22,"11",2010
"20101122","Bikita",0,1,2,2010-11-22,"11",2010
"20101122","Bindura",0.125272165650049,1,3,2010-11-22,"11",2010
"20101122","Binga",1.64615991216103,1,4,2010-11-22,"11",2010
"20101122","Bubi",0,1,5,2010-11-22,"11",2010
"20101122","Buhera",0,1,6,2010-11-22,"11",2010
"20101122","Bulawayo",0,1,7,2010-11-22,"11",2010
"20101122","Bulilima (North)",0,1,8,2010-11-22,"11",2010
"20101122","Centenary",5.70341683138237,0,9,2010-11-22,"11",2010
"20101122","Chegutu",0.0800947403465306,1,10,2010-11-22,"11",2010
"20101122","Chikomba",0,1,11,2010-11-22,"11",2010
"20101122","Chimanimani",0.0647994743125764,1,12,2010-11-22,"11",2010
"20101122","Chipinge",0,1,13,2010-11-22,"11",2010
"20101122","Chiredzi",0,1,14,2010-11-22,"11",2010
"20101122","Chirumhanzu",0,1,15,2010-11-22,"11",2010
"20101122","Chivi",0,1,16,2010-11-22,"11",2010
"20101122","Gokwe North",1.87929029287478,1,17,2010-11-22,"11",2010
"20101122","Gokwe South",1.54211439900788,1,18,2010-11-22,"11",2010
"20101122","Goromonzi",0.0347838289591775,1,19,2010-11-22,"11",2010
"20101122","Guruve",1.88614249371899,1,20,2010-11-22,"11",2010
"20101122","Gutu",0,1,21,2010-11-22,"11",2010
"20101122","Gwanda",0,1,22,2010-11-22,"11",2010
"20101122","Gweru",0,1,23,2010-11-22,"11",2010
"20101122","Harare",0.000665385759372581,1,24,2010-11-22,"11",2010
"20101122","Hurungwe",1.52527970211375,1,25,2010-11-22,"11",2010
"20101122","Hwange",0.0434417747161699,1,26,2010-11-22,"11",2010
"20101122","Insiza",0,1,27,2010-11-22,"11",2010
"20101122","Kadoma",0.399959613918139,1,28,2010-11-22,"11",2010
"20101122","Kariba",0.756948253535769,1,29,2010-11-22,"11",2010
"20101122","Kwekwe",0.0435192194142247,1,30,2010-11-22,"11",2010
"20101122","Lupane",0.0314562656046599,1,31,2010-11-22,"11",2010
"20101122","Makonde",3.78251478619965,0,32,2010-11-22,"11",2010
"20101122","Makoni",0.00299735150520746,1,33,2010-11-22,"11",2010
"20101122","Mangwe (South)",0,1,34,2010-11-22,"11",2010
"20101122","Marondera",0.0109479689262711,1,35,2010-11-22,"11",2010
"20101122","Masvingo",0,1,36,2010-11-22,"11",2010
"20101122","Matobo",0,1,37,2010-11-22,"11",2010
"20101122","Mazowe",0.617053773713656,1,38,2010-11-22,"11",2010
"20101122","Mberengwa",0,1,39,2010-11-22,"11",2010
"20101122","Mount Darwin",1.54901035616724,1,40,2010-11-22,"11",2010
"20101122","Mudzi",0.0905702018939843,1,41,2010-11-22,"11",2010
"20101122","Murehwa",0.171048963628078,1,42,2010-11-22,"11",2010
"20101122","Mutare",0.10092404414581,1,43,2010-11-22,"11",2010
"20101122","Mutasa",0.841707757154817,1,44,2010-11-22,"11",2010
"20101122","Mutoko",0.0320068941229817,1,45,2010-11-22,"11",2010
"20101122","Mwenezi",0,1,46,2010-11-22,"11",2010
"20101122","Nkayi",0.311048457782668,1,47,2010-11-22,"11",2010
"20101122","Nyanga",0.196234168278996,1,48,2010-11-22,"11",2010
"20101122","Rushinga",0.35939667882926,1,49,2010-11-22,"11",2010
"20101122","Seke",0.283189191532925,1,50,2010-11-22,"11",2010
"20101122","Shamva",0.836266348021799,1,51,2010-11-22,"11",2010
"20101122","Shurugwi",0,1,52,2010-11-22,"11",2010
"20101122","Tsholotsho",0,1,53,2010-11-22,"11",2010
"20101122","Umguza",0,1,54,2010-11-22,"11",2010
"20101122","UMP",0.142431778545071,1,55,2010-11-22,"11",2010
"20101122","Umzingwane",0,1,56,2010-11-22,"11",2010
"20101122","Wedza",0,1,57,2010-11-22,"11",2010
"20101122","Zaka",0,1,58,2010-11-22,"11",2010
"20101122","Zvimba",3.50052463233668,0,59,2010-11-22,"11",2010
"20101122","Zvishavane",0,1,60,2010-11-22,"11",2010
"20101123","Beitbridge",0.000652093902868253,1,1,2010-11-23,"11",2010
"20101123","Bikita",0,1,2,2010-11-23,"11",2010
"20101123","Bindura",6.7666538752479,0,3,2010-11-23,"11",2010
"20101123","Binga",0.517659582260576,1,4,2010-11-23,"11",2010
"20101123","Bubi",1.28461703937866,1,5,2010-11-23,"11",2010
"20101123","Buhera",0,1,6,2010-11-23,"11",2010
"20101123","Bulawayo",0,1,7,2010-11-23,"11",2010
"20101123","Bulilima (North)",0.00944495061619614,1,8,2010-11-23,"11",2010
"20101123","Centenary",1.10897073787326,1,9,2010-11-23,"11",2010
"20101123","Chegutu",1.78893449885236,1,10,2010-11-23,"11",2010
"20101123","Chikomba",0.41349464603141,1,11,2010-11-23,"11",2010
"20101123","Chimanimani",2.12787882505466,1,12,2010-11-23,"11",2010
"20101123","Chipinge",0.306723191073967,1,13,2010-11-23,"11",2010
"20101123","Chiredzi",0,1,14,2010-11-23,"11",2010
"20101123","Chirumhanzu",2.02558730983369,1,15,2010-11-23,"11",2010
"20101123","Chivi",0,1,16,2010-11-23,"11",2010
"20101123","Gokwe North",3.35789853360311,0,17,2010-11-23,"11",2010
"20101123","Gokwe South",3.77158645024469,0,18,2010-11-23,"11",2010
"20101123","Goromonzi",5.01071872687031,0,19,2010-11-23,"11",2010
"20101123","Guruve",3.27158531642553,0,20,2010-11-23,"11",2010
"20101123","Gutu",0,1,21,2010-11-23,"11",2010
"20101123","Gwanda",0,1,22,2010-11-23,"11",2010
"20101123","Gweru",1.15462502194202,1,23,2010-11-23,"11",2010
"20101123","Harare",2.02729459682365,1,24,2010-11-23,"11",2010
"20101123","Hurungwe",4.46087941221205,0,25,2010-11-23,"11",2010
"20101123","Hwange",2.88478202070218,1,26,2010-11-23,"11",2010
"20101123","Insiza",0.0182012333608502,1,27,2010-11-23,"11",2010
"20101123","Kadoma",10.1238756840327,0,28,2010-11-23,"11",2010
"20101123","Kariba",0.567951192199071,1,29,2010-11-23,"11",2010
"20101123","Kwekwe",1.42627580517861,1,30,2010-11-23,"11",2010
"20101123","Lupane",2.07522917350748,1,31,2010-11-23,"11",2010
"20101123","Makonde",6.40810898474957,0,32,2010-11-23,"11",2010
"20101123","Makoni",0.946315109311866,1,33,2010-11-23,"11",2010
"20101123","Mangwe (South)",0,1,34,2010-11-23,"11",2010
"20101123","Marondera",1.08620097784656,1,35,2010-11-23,"11",2010
"20101123","Masvingo",0,1,36,2010-11-23,"11",2010
"20101123","Matobo",0,1,37,2010-11-23,"11",2010
"20101123","Mazowe",2.68475202459946,1,38,2010-11-23,"11",2010
"20101123","Mberengwa",0,1,39,2010-11-23,"11",2010
"20101123","Mount Darwin",1.14097908703443,1,40,2010-11-23,"11",2010
"20101123","Mudzi",4.19582830150867,0,41,2010-11-23,"11",2010
"20101123","Murehwa",3.77559090386483,0,42,2010-11-23,"11",2010
"20101123","Mutare",1.3559526138228,1,43,2010-11-23,"11",2010
"20101123","Mutasa",4.20916738418359,0,44,2010-11-23,"11",2010
"20101123","Mutoko",6.04919636392286,0,45,2010-11-23,"11",2010
"20101123","Mwenezi",0,1,46,2010-11-23,"11",2010
