"District","YearBegin","AverageSoilMoisture","MaxSoilMoisture","MinSoilMoisture"
"Beitbridge","2015",2.74826419456495,7.83029132031669,2.10458810265227
"Beitbridge","2016",3.9128903203691,24.0805756929298,2.13034303544872
"Beitbridge","2017",4.29478920616712,18.1140427724005,2.14034813160803
"Beitbridge","2018",3.99718249312528,19.1992623270512,2.12616843987151
"Beitbridge","2019",3.45797376777376,20.6493253948785,2.12165765228542
"Beitbridge","2020",4.28874817265481,22.0611619072178,2.14618331444778
"Beitbridge","2021",5.09019986077918,21.2743347047146,2.30963162570872
"Bikita","2015",3.09052125717018,13.2629334901505,2.20200677976205
"Bikita","2016",5.81080081648297,24.0270785203432,2.1793417540136
"Bikita","2017",8.49395574311399,25.275339838877,2.25551749679261
"Bikita","2018",6.76036304109795,24.4674029908561,2.24304789333947
"Bikita","2019",5.97191984007482,25.3208275508511,2.23527918407057
"Bikita","2020",6.12355433924743,23.3002889013122,2.24738734264604
"Bikita","2021",6.84096855013313,25.0318762876448,2.21181676097847
"Bindura","2015",4.13727747463821,19.5976973813671,2.2809954148774
"Bindura","2016",8.82803714825411,25.3542027560768,2.34108680203864
"Bindura","2017",10.8202199891403,25.3706368722432,2.3471522825461
"Bindura","2018",10.0338840932224,25.3482115444315,2.39028607440691
"Bindura","2019",7.99269557165843,25.3723524520053,2.31286360681557
"Bindura","2020",8.66492912893852,25.3595720231994,2.29881814728822
"Bindura","2021",8.03332993659158,25.3540263225251,2.29723933386902
"Binga","2015",3.68374433869307,9.98291067744402,2.71432631903404
"Binga","2016",7.2175812018223,20.3463693208894,2.71931311748105
"Binga","2017",9.83926326575769,25.1339791954267,2.72989340754908
"Binga","2018",7.94660488168992,25.2727869137673,2.70412542554213
"Binga","2019",5.81112291469483,24.0148557484879,2.69547653600994
"Binga","2020",7.75935176237247,24.7127107896033,2.72543431015319
"Binga","2021",7.61490103749727,24.3300975298506,2.71056526663278
"Bubi","2015",2.99331493537905,11.0028770453692,2.19533979289082
"Bubi","2016",5.69910658508479,23.6382922762723,2.19859195372485
"Bubi","2017",8.03727493174998,25.3245756537118,2.20558250427183
"Bubi","2018",5.28371942128845,24.7738291812562,2.22899113170379
"Bubi","2019",4.52558897498018,21.526947316533,2.22739681426724
"Bubi","2020",5.47460643703785,24.5766155436785,2.20758214676146
"Bubi","2021",6.2902306194433,25.2735797638543,2.19393169072867
"Buhera","2015",3.66239166164918,17.9129884930951,2.22944385201854
"Buhera","2016",6.84249254775046,24.8644873244219,2.24214335123309
"Buhera","2017",8.99628490828739,25.3120787248182,2.25706677128868
"Buhera","2018",6.96219485062339,25.2072624597459,2.2770377407541
"Buhera","2019",6.43390935649709,25.1719217493178,2.24230771715682
"Buhera","2020",6.33946359443145,24.3055695904866,2.2394567196158
"Buhera","2021",7.0242778858638,24.8919281252819,2.26053622399867
"Bulawayo","2015",2.49733428513368,6.70696544009403,2.13695851993504
"Bulawayo","2016",5.82746430374666,24.9833287238884,2.12812638344653
"Bulawayo","2017",8.2999757133141,25.3472297159729,2.17916169992867
"Bulawayo","2018",5.52300650169975,25.2437085821662,2.12764803152833
"Bulawayo","2019",4.67750651120653,22.8438319801975,2.12747401147813
"Bulawayo","2020",5.55867480321318,25.2744584520507,2.15092616510572
"Bulawayo","2021",6.74600180200285,25.3139035043471,2.13726384879158
"Bulilima (North)","2015",2.91397526784222,10.0539733684291,2.24113603453958
"Bulilima (North)","2016",5.52500601265357,23.712225563196,2.22478953451866
"Bulilima (North)","2017",7.2366616538227,25.0633389459492,2.25724497032041
"Bulilima (North)","2018",4.84023538715685,25.071510021914,2.22998298747357
"Bulilima (North)","2019",4.40581554117325,23.3578790042902,2.19986714676766
"Bulilima (North)","2020",4.83933690183324,24.42710938716,2.24297629157552
"Bulilima (North)","2021",6.2808103787692,24.8758413071678,2.23499254436687
"Centenary","2015",4.38767332666049,23.1038412941329,2.15664723049874
"Centenary","2016",9.54506788375272,25.3492527779429,2.11351357335709
"Centenary","2017",10.2107531267743,25.3605153979581,2.14197658556252
"Centenary","2018",8.52979529429795,25.2732285951687,2.14534789194914
"Centenary","2019",7.72774196198885,25.2148926041191,2.13428646715882
"Centenary","2020",7.65743023782001,25.3188433892288,2.12904099885158
"Centenary","2021",7.88969204812881,25.3294984180997,2.13194591311292
"Chegutu","2015",4.12520613286503,19.786132513064,2.13157136886768
"Chegutu","2016",7.86562595693046,25.3346705814361,2.10475829992157
"Chegutu","2017",9.68262536309131,25.3714615041023,2.13630485822793
"Chegutu","2018",7.71562111907644,25.3234609476035,2.13133039661583
"Chegutu","2019",6.36076496784727,24.4900452341171,2.106034745068
"Chegutu","2020",7.10697022504964,24.8128336454352,2.11093524154197
"Chegutu","2021",7.54003366656725,25.291531194351,2.10975578692099
"Chikomba","2015",4.37089063417813,18.7738644931287,2.20593667336384
"Chikomba","2016",7.03231037660695,24.9147644089059,2.19080655793129
"Chikomba","2017",9.65734905304669,25.3322127547953,2.17905450315499
"Chikomba","2018",8.48308436679798,25.3494888961162,2.21999659830598
"Chikomba","2019",6.94722151798509,24.2881313179416,2.19582449904813
"Chikomba","2020",7.21729811735746,25.2597015927339,2.24985005666336
"Chikomba","2021",8.32667257167419,25.2753628173585,2.23330137882237
"Chimanimani","2015",4.50106423530783,19.657255936577,2.00956672549654
"Chimanimani","2016",8.17598615289064,24.4207974136475,2.04079204971805
"Chimanimani","2017",11.3109830737676,25.3135691692468,2.43236624116198
"Chimanimani","2018",12.32020175323,25.2776049638423,3.44612130614048
