"District","Year","AverageNDVI","MaxNDVI","MinNDVI"
"Bubi","2006",0.502464236339726,0.722530781,0.306712924
"Bubi","2007",0.419693935287671,0.635483204,0.284386047
"Bubi","2008",0.454375576879781,0.676930358,0.295656132
"Bubi","2009",0.48727573090411,0.692582835,0.306309865
"Bubi","2010",0.464636417556164,0.64790746,0.285953034
"Bubi","2011",0.453169788989041,0.677524261,0.290811909
"Bubi","2012",0.405912731043716,0.604896171,0.286852762
"Bubi","2013",0.403611956630137,0.603238969,0.28020285
"Bubi","2014",0.453672237279452,0.666319221,0.294279586
"Bubi","2015",0.432415572424658,0.622573647,0.282367844
"Bubi","2016",0.420388901065574,0.635174767,0.281002105
"Bubi","2017",0.51105180649863,0.690023853,0.327045052
"Bubi","2018",0.456784472646575,0.668435931,0.305797994
"Bubi","2019",0.419947716046575,0.627795786,0.286961082
"Bubi","2020",0.437995389489071,0.636222737,0.295145601
"Bubi","2021",0.477054237340659,0.708476692,0.310163804
"Buhera","2000",0.360502145545763,0.540383254,0.259867776
"Buhera","2001",0.373493408108939,0.538469682,0.256549484
"Buhera","2002",0.325389775008219,0.482192716,0.233483845
"Buhera","2003",0.335830328257534,0.482895935,0.245776183
"Buhera","2004",0.331324416786885,0.49042656,0.23694448
"Buhera","2005",0.298202565720548,0.447529263,0.220935655
"Buhera","2006",0.35076676750411,0.518044591,0.247096719
"Buhera","2007",0.337249293493151,0.463456714,0.239943477
"Buhera","2008",0.321054282368852,0.500771702,0.247099829
"Buhera","2009",0.332586494484931,0.451386563,0.232318844
"Buhera","2010",0.337682856967123,0.476033966,0.241099853
"Buhera","2011",0.317721303156164,0.471068259,0.228327974
"Buhera","2012",0.313295380289618,0.43056845,0.236448981
"Buhera","2013",0.321603811372603,0.443549409,0.228853559
"Buhera","2014",0.333916412575342,0.49412365,0.234254052
"Buhera","2015",0.339789449169863,0.44130836,0.243372496
"Buhera","2016",0.316348281827869,0.445709552,0.232322701
"Buhera","2017",0.373436533747945,0.52590308,0.254221261
"Buhera","2018",0.356817826013699,0.524249126,0.253758025
"Buhera","2019",0.347759810887671,0.45939302,0.249636071
"Buhera","2020",0.320518882538251,0.454609825,0.220142806
"Buhera","2021",0.363114077134615,0.541419904,0.255414979
"Bulawayo","2000",0.399053520254237,0.637109688,0.281138964
"Bulawayo","2001",0.429399705194366,0.667086467,0.263770137
