"Region","AverageEVI","MaxEVI","SdEVI"
"I",0.220955593398679,0.439411905971834,0.081658129469236
"IIA",0.330433756669487,0.504184980496791,0.0911694164204282
"IIB",0.198174405748309,0.405350404606752,0.074617032043925
"III",0.316004088610583,0.446768187587262,0.0736586630141001
"IV",0.173475928140361,0.393605519451754,0.0623026369510482
"V",0.284781056783576,0.484818461806166,0.0865099683370571
