"Region","AverageEVI","MaxEVI","SdEVI"
"I",0.226784700174025,0.444422102465289,0.0907726104691418
"IIA",0.313052201296427,0.482950599717458,0.0741965317089982
"IIB",0.200496712128686,0.383126250994619,0.0769352083805653
"III",0.288531219584614,0.426616864991556,0.0682047994223145
"IV",0.193848995410265,0.37923337368836,0.0776494290601723
"V",0.246171062130079,0.44357083257512,0.0749787560965341
