"District","Year","AveragePRECIP","MaxPRECIP","MinPRECIP"
"Beitbridge","2000",23.9591452044757,72.9502997350751,0.0511901206538467
"Beitbridge","2001",37.3506563683622,147.277946246488,0.0585821495918242
"Beitbridge","2002",13.2018157322102,39.1383568182734,0.897495078542707
"Beitbridge","2003",23.6933566995066,70.3758335941562,0.397467745834169
"Beitbridge","2004",35.6301637999006,148.057575555292,0.418268698989069
"Beitbridge","2005",16.4293008112994,72.6252240810909,0.416358507529916
"Beitbridge","2006",33.2241039542647,104.423642094053,0.0046454109109453
"Beitbridge","2007",34.6015575920069,139.048438928642,0.356195545481451
"Beitbridge","2008",22.5306039721615,136.198056881802,0.503826701746219
"Beitbridge","2009",27.4328114709179,98.9886394752299,0.309324311154755
"Beitbridge","2010",26.6023772237966,91.8749885840743,0.0894805043412192
"Beitbridge","2011",26.9533014474866,118.057810909316,0.40501377535486
"Beitbridge","2012",13.6320314738351,53.8216000700406,0.0597082006563427
"Beitbridge","2013",38.9309272152306,233.950145559451,0.146255912414199
"Beitbridge","2014",35.3971423842482,113.5741061182,0.212069983527537
"Beitbridge","2015",15.0225319878135,42.29264607187,0.00391171613948833
"Beitbridge","2016",22.8074066388843,95.631375696963,0.119691930086507
"Beitbridge","2017",29.6828816324332,110.053154606387,0.308362096203856
"Beitbridge","2018",24.1443730985986,125.364011226039,0.681859749707869
"Beitbridge","2019",18.8325059107373,84.3359417868888,0.00403262868681386
"Bikita","2000",16.7849187700463,41.2748999972554,0.92970343654537
"Bikita","2001",29.2395119426904,115.061366662325,0.204442044511747
"Bikita","2002",11.2415918554704,27.0723814341952,1.60184982402396
"Bikita","2003",18.7441305252865,79.7583516352317,0.500676613918611
"Bikita","2004",20.0864562824909,57.4997904971534,3.26028201600865
"Bikita","2005",13.1475289146551,81.3677090956884,0.1068092110359
"Bikita","2006",15.9359332368238,44.6443423783078,0.0472324053785568
"Bikita","2007",23.8999901848751,119.691747731321,0.780014499304268
